ATE,Error_ATE,Error_PEHE,Problem
4.123776,0.16089,1.5605,IHDP 261
3.628331,0.431284,1.065494,IHDP 262
3.207476,0.032998,1.412344,IHDP 263
3.406809,0.198687,0.535491,IHDP 264
3.746296,0.275747,0.812956,IHDP 265
2.771384,0.075823,1.782102,IHDP 266
4.143977,0.330734,0.54698,IHDP 267
5.286954,0.010683,0.863967,IHDP 268
4.032261,0.137617,0.603045,IHDP 269
3.267657,0.103959,0.690148,IHDP 270
4.154091,0.33544,0.715664,IHDP 271
4.263595,0.027082,1.012368,IHDP 272
3.743914,0.362666,0.784506,IHDP 273
4.385673,0.461449,1.387299,IHDP 274
5.655607,0.112393,2.503413,IHDP 275
5.486463,0.206096,0.784981,IHDP 276
3.999168,0.006195,0.777806,IHDP 277
4.213574,0.309868,0.770861,IHDP 278
5.12422,0.209597,1.244193,IHDP 279
2.055246,0.254722,2.2542,IHDP 280
-0.076376,0.201756,3.070894,IHDP 281
7.892907,0.291197,0.95599,IHDP 282
3.896592,0.436606,1.776664,IHDP 283
4.068114,0.15869,0.489612,IHDP 284
4.088055,0.191648,1.099139,IHDP 285
4.188938,0.174595,0.540626,IHDP 286
4.784931,0.282971,1.076417,IHDP 287
3.654808,0.350709,1.533525,IHDP 288
4.163401,0.514464,2.466455,IHDP 289
4.03103,0.02501,1.409914,IHDP 290
3.465725,0.188058,1.548225,IHDP 291
5.27655,0.082103,1.573445,IHDP 292
4.124088,0.295729,2.176658,IHDP 293
3.928984,0.531717,1.192195,IHDP 294
3.024828,0.303191,1.832348,IHDP 295
3.880179,0.141531,0.365212,IHDP 296
4.108379,0.278204,1.186675,IHDP 297
3.953225,0.172028,1.550437,IHDP 298
4.138098,0.345346,1.04047,IHDP 299
4.068999,0.468616,2.485927,IHDP 300
4.526017,0.294207,0.704868,IHDP 301
6.179739,0.188769,1.557566,IHDP 302
4.105771,0.229665,0.998138,IHDP 303
4.046146,0.153849,1.08012,IHDP 304
3.948332,0.058327,0.466554,IHDP 305
5.434893,0.124748,0.532558,IHDP 306
4.760296,0.104637,1.261914,IHDP 307
3.644242,0.004067,0.565976,IHDP 308
2.61934,0.138035,2.018141,IHDP 309
2.4003,0.158945,1.267866,IHDP 310
4.722806,0.424341,7.919317,IHDP 311
4.298212,0.216199,0.352388,IHDP 312
1.895762,0.271215,1.132402,IHDP 313
3.304741,0.159359,1.333116,IHDP 314
4.202883,0.309216,1.619786,IHDP 315
4.41925,0.100816,1.351443,IHDP 316
4.092218,0.074648,0.5515,IHDP 317
7.304587,0.310986,1.535443,IHDP 318
9.677135,0.199792,1.382277,IHDP 319
4.113815,0.380341,1.69265,IHDP 320
4.44406,0.188603,1.724144,IHDP 321
5.909824,0.15617,2.025555,IHDP 322
4.506959,0.322858,0.482224,IHDP 323
4.390962,0.300076,0.838472,IHDP 324
5.836417,0.09213,0.552746,IHDP 325
2.094788,0.168137,1.660638,IHDP 326
4.558136,0.589855,2.027582,IHDP 327
12.202974,0.229649,17.240154,IHDP 328
0.575102,0.221517,1.909781,IHDP 329
3.260379,0.051306,0.807582,IHDP 330
3.067394,0.162126,0.574242,IHDP 331
4.323191,0.171566,1.727589,IHDP 332
3.926307,0.320609,0.741942,IHDP 333
4.268453,0.007851,0.896111,IHDP 334
4.107216,0.254287,1.260237,IHDP 335
5.1993,0.259517,1.55276,IHDP 336
3.611071,0.301333,7.749243,IHDP 337
4.086021,0.295516,0.736602,IHDP 338
3.991024,0.268541,1.719195,IHDP 339
9.094573,0.289054,7.144448,IHDP 340
4.309699,0.363645,1.638069,IHDP 341
4.062607,0.066919,0.736325,IHDP 342
6.962676,0.149255,4.364348,IHDP 343
1.265449,1.235469,31.201936,IHDP 344
3.935433,1.553052,27.229117,IHDP 345
4.544109,0.025352,1.42085,IHDP 346
4.650149,0.149983,2.231502,IHDP 347
4.158998,0.38767,0.982099,IHDP 348
5.327891,0.37495,1.921901,IHDP 349
6.352405,0.188374,5.530447,IHDP 350
5.911359,0.425965,2.147205,IHDP 351
3.980409,0.012344,0.54034,IHDP 352
4.600258,0.232097,1.423128,IHDP 353
4.026606,0.002308,0.974036,IHDP 354
4.319107,0.010828,0.579254,IHDP 355
1.01733,0.00467,1.728321,IHDP 356
3.928458,0.356303,2.192622,IHDP 357
4.398043,0.010768,2.069899,IHDP 358
3.971575,0.355756,1.53389,IHDP 359
1.33982,0.173269,2.347419,IHDP 360
2.37995,0.159795,7.356221,IHDP 361
3.645929,0.123534,0.921098,IHDP 362
4.011113,0.342458,2.406068,IHDP 363
3.660033,0.216116,1.135275,IHDP 364
5.161995,0.125612,0.434825,IHDP 365
5.10076,0.046326,0.513538,IHDP 366
3.923495,0.016653,0.777054,IHDP 367
3.727482,0.226269,1.103778,IHDP 368
4.542613,0.086866,2.284187,IHDP 369
3.678288,0.2246,1.753976,IHDP 370
3.983172,0.035868,0.874473,IHDP 371
4.270391,0.133901,1.162583,IHDP 372
4.534935,0.01089,3.178624,IHDP 373
4.086116,0.331189,0.97516,IHDP 374
3.957812,0.100158,0.749191,IHDP 375
3.969784,0.072949,1.46409,IHDP 376
4.009639,0.054644,1.105484,IHDP 377
4.12089,0.782043,1.796542,IHDP 378
3.544981,0.00107,0.660196,IHDP 379
3.972572,0.048782,1.142191,IHDP 380
4.108098,0.102778,1.941739,IHDP 381
2.770809,0.04819,3.678632,IHDP 382
3.806732,0.055287,0.560649,IHDP 383
2.613289,0.413575,2.37705,IHDP 384
4.55917,0.196969,3.804918,IHDP 385
5.81783,0.123864,5.637822,IHDP 386
3.303696,0.211131,0.821413,IHDP 387
3.533431,0.320901,1.002088,IHDP 388
3.765228,0.399078,2.075616,IHDP 389
3.049347,0.111302,0.955343,IHDP 390
3.910273,0.381525,0.687176,IHDP 391
5.093272,0.081633,1.01288,IHDP 392
5.08876,0.141176,0.474509,IHDP 393
4.216065,0.103528,0.348408,IHDP 394
4.010602,0.68001,2.555979,IHDP 395
3.965822,0.033519,0.832871,IHDP 396
3.771529,0.122634,0.715249,IHDP 397
4.02836,0.823309,3.390707,IHDP 398
5.962017,0.034974,0.868482,IHDP 399
5.8386,0.023695,0.802438,IHDP 400
6.618298,0.237155,2.25147,IHDP 401
4.203918,0.014953,1.054068,IHDP 402
4.240114,0.017496,0.859892,IHDP 403
4.267716,0.266863,0.971781,IHDP 404
4.0697,0.261473,0.715611,IHDP 405
3.837232,0.024667,0.438784,IHDP 406
4.227002,0.028103,1.145097,IHDP 407
5.241982,0.105367,0.400573,IHDP 408
4.594335,0.149063,1.001489,IHDP 409
8.167517,0.419267,0.961388,IHDP 410
4.137189,0.116315,0.976097,IHDP 411
4.297494,0.002607,0.775101,IHDP 412
3.992074,0.362496,1.258904,IHDP 413
4.887621,0.465672,1.734886,IHDP 414
2.523297,0.014444,23.225031,IHDP 415
4.268561,0.012644,0.760301,IHDP 416
4.116272,0.455254,2.815298,IHDP 417
1.836465,0.223107,1.515016,IHDP 418
3.346265,0.118264,1.076916,IHDP 419
4.119501,0.102381,0.627866,IHDP 420
4.264316,0.210283,0.900921,IHDP 421
4.094396,0.221096,0.940313,IHDP 422
4.092035,0.054686,0.514007,IHDP 423
4.019574,0.029005,0.897376,IHDP 424
3.959721,0.069863,0.757467,IHDP 425
5.062052,0.060298,0.862482,IHDP 426
3.293387,0.049729,0.885384,IHDP 427
4.306567,0.17287,0.52151,IHDP 428
3.981822,0.117323,1.186837,IHDP 429
5.199454,0.107769,0.526792,IHDP 430
4.576907,0.151725,0.722737,IHDP 431
4.014548,0.687323,3.302482,IHDP 432
5.590636,0.711802,1.867518,IHDP 433
9.7451,0.588497,21.810501,IHDP 434
3.91084,0.027552,0.52881,IHDP 435
4.291502,0.155614,1.314133,IHDP 436
10.22435,0.349319,1.377506,IHDP 437
4.922349,0.194458,1.59156,IHDP 438
3.48837,0.286589,1.282999,IHDP 439
3.209458,0.202463,4.302828,IHDP 440
3.718254,0.700135,2.021772,IHDP 441
4.354939,0.155302,1.607239,IHDP 442
4.253209,0.047576,0.927227,IHDP 443
3.729984,0.323416,0.731978,IHDP 444
5.618664,0.505905,1.466955,IHDP 445
5.099168,0.018959,1.084202,IHDP 446
4.153354,0.033383,0.429511,IHDP 447
3.316493,0.002246,1.050175,IHDP 448
4.081418,0.13967,1.237349,IHDP 449
4.242427,0.060627,0.503048,IHDP 450
4.637361,0.127464,0.595844,IHDP 451
4.532308,0.203905,0.852533,IHDP 452
4.088621,0.367963,0.732104,IHDP 453
4.002836,0.108139,0.543218,IHDP 454
3.683024,0.417925,1.385788,IHDP 455
3.984479,0.032131,0.560332,IHDP 456
4.634253,0.022017,1.111428,IHDP 457
3.985477,0.108182,1.094101,IHDP 458
4.064663,0.199347,0.88156,IHDP 459
4.112875,0.244146,0.815112,IHDP 460
4.129724,0.088917,0.757016,IHDP 461
3.671723,0.094988,0.909389,IHDP 462
3.57222,0.16988,0.478273,IHDP 463
3.706723,0.04373,0.950487,IHDP 464
3.728413,0.512259,1.653033,IHDP 465
4.871721,0.609983,2.64949,IHDP 466
3.950303,0.015533,2.662277,IHDP 467
9.055004,0.154959,7.117397,IHDP 468
4.498951,0.12841,1.604344,IHDP 469
3.554221,0.07402,0.661273,IHDP 470
4.476153,0.202777,1.080513,IHDP 471
3.625736,0.056544,0.652411,IHDP 472
9.015109,0.203591,3.027855,IHDP 473
4.433179,0.470478,20.354569,IHDP 474
17.431873,0.083241,5.607673,IHDP 475
4.286275,0.185934,1.163425,IHDP 476
4.25405,0.001732,0.518541,IHDP 477
4.059448,0.678566,3.732093,IHDP 478
4.868665,0.234768,1.08442,IHDP 479
1.557666,0.156557,5.031785,IHDP 480
4.345347,0.198976,0.681884,IHDP 481
7.444905,0.047254,1.408048,IHDP 482
4.275838,0.183558,2.099734,IHDP 483
4.106984,0.26937,0.841282,IHDP 484
4.576177,0.441594,0.841525,IHDP 485
3.96863,0.154244,1.928424,IHDP 486
3.823243,0.152771,0.818514,IHDP 487
4.009515,0.334684,1.027791,IHDP 488
5.820833,0.046643,0.936549,IHDP 489
4.00717,0.110815,1.468289,IHDP 490
3.760926,0.06383,0.654782,IHDP 491
5.19779,0.226478,1.572975,IHDP 492
5.047524,0.187349,1.013646,IHDP 493
3.9655,0.035986,0.764021,IHDP 494
4.006717,0.039579,0.817399,IHDP 495
3.64414,0.447963,0.719021,IHDP 496
3.703682,0.114946,0.282305,IHDP 497
1.516552,0.119213,0.754567,IHDP 498
6.741927,0.070692,1.243644,IHDP 499
4.032432,0.360738,1.033296,IHDP 500
3.99078,0.232611,0.717259,IHDP 501
4.05696,0.285241,1.834077,IHDP 502
4.279174,0.146655,0.798759,IHDP 503
3.956059,0.071872,2.059869,IHDP 504
4.302037,0.011168,0.824419,IHDP 505
7.098744,0.427074,1.673237,IHDP 506
3.594859,0.208899,1.380311,IHDP 507
6.455965,0.254026,1.48813,IHDP 508
3.647914,0.104461,0.984748,IHDP 509
4.117298,0.168634,1.211469,IHDP 510
1.163295,0.678757,6.777012,IHDP 511
3.381114,0.042689,1.159032,IHDP 512
3.132084,0.097325,2.404828,IHDP 513
8.017232,0.078868,24.299294,IHDP 514
4.023613,0.005227,0.618733,IHDP 515
10.889104,0.123506,3.850607,IHDP 516
4.386577,0.2136,0.959764,IHDP 517
5.152243,0.12788,1.153212,IHDP 518
3.998957,0.342974,0.557377,IHDP 519
4.202021,0.104499,0.565621,IHDP 520
